Comment: ACERO: frecuencia: 34.450000E0
 Hz
Time (s),Voltage (V)
1.347920000000000007e+00,9.124655855086575285e-01
1.347960000000000047e+00,9.123011042399559178e-01
1.348000000000000087e+00,9.131235105837836041e-01
1.348039999999999905e+00,9.129590293149540958e-01
1.348079999999999945e+00,9.126300667773910025e-01
1.348119999999999985e+00,9.129590293149540958e-01
1.348160000000000025e+00,9.127945480461565619e-01
1.348200000000000065e+00,9.121366229712863927e-01
1.348240000000000105e+00,9.126300667773910025e-01
1.348279999999999923e+00,9.095049226769128525e-01
1.348319999999999963e+00,9.109852540914932240e-01
1.348360000000000003e+00,9.111497353599393723e-01
1.348400000000000043e+00,9.108207728230789391e-01
1.348440000000000083e+00,9.109852540914932240e-01
1.348479999999999901e+00,9.106562915546966286e-01
1.348519999999999941e+00,9.108207728230789391e-01
1.348559999999999981e+00,9.108207728230789391e-01
1.348600000000000021e+00,9.113142166284173840e-01
1.348640000000000061e+00,9.119721417026486199e-01
1.348680000000000101e+00,9.124655855086575285e-01
1.348719999999999919e+00,9.114786978969272591e-01
1.348759999999999959e+00,9.118076604340429325e-01
1.348799999999999999e+00,9.116431791654692196e-01
1.348840000000000039e+00,9.118076604340429325e-01
1.348880000000000079e+00,9.129590293149540958e-01
1.348919999999999897e+00,9.127945480461565619e-01
1.348959999999999937e+00,9.134524731215384330e-01
1.348999999999999977e+00,9.137814356594216036e-01
1.349040000000000017e+00,9.139459169284110951e-01
1.349080000000000057e+00,9.141103981974326720e-01
1.349120000000000097e+00,9.144393607355717490e-01
1.349159999999999915e+00,9.147683232738392789e-01
1.349199999999999955e+00,9.152617670814808815e-01
1.349239999999999995e+00,9.150972858122349285e-01
1.349280000000000035e+00,9.177289861240245372e-01
1.349320000000000075e+00,9.185513924731476543e-01
1.349359999999999893e+00,9.187158737430688449e-01
1.349399999999999933e+00,9.193737988230762381e-01
1.349439999999999973e+00,9.190448362830081486e-01
1.349480000000000013e+00,9.192093175530260396e-01
1.349520000000000053e+00,9.193737988230762381e-01
1.349560000000000093e+00,9.197027613632735576e-01
1.349599999999999911e+00,9.197027613632735576e-01
1.349639999999999951e+00,9.197027613632735576e-01
1.349679999999999991e+00,9.200317239035999961e-01
1.349720000000000031e+00,9.206896489846403409e-01
1.349760000000000071e+00,9.216765366071707488e-01
1.349800000000000111e+00,9.216765366071707488e-01
1.349839999999999929e+00,9.215120553366681344e-01
1.349879999999999969e+00,9.215120553366681344e-01
1.349920000000000009e+00,9.220054991482729001e-01
1.349960000000000049e+00,9.221699804188725480e-01
1.350000000000000089e+00,9.224989429601692104e-01
1.350039999999999907e+00,9.233213493139776906e-01
1.350079999999999947e+00,9.236503118557281011e-01
