Distance_(mm),Gray_Value
21.6718,255.000
21.6893,255.000
21.7068,254.974
21.7243,254.642
21.7418,254.286
21.7594,254.414
21.7769,254.609
21.7944,254.506
21.8119,254.628
21.8294,254.607
21.8470,254.410
21.8645,253.683
21.8820,253.461
21.8995,253.597
21.9170,253.378
21.9346,251.002
21.9521,247.405
21.9696,241.618
21.9871,237.902
22.0046,234.942
22.0222,230.892
22.0397,226.113
22.0572,217.536
22.0747,207.156
22.0922,202.232
22.1097,201.447
22.1273,199.436
22.1448,197.815
22.1623,197.352
22.1798,199.830
22.1973,201.923
22.2149,204.109
22.2324,206.491
22.2499,208.846
22.2674,209.836
22.2849,211.291
22.3025,213.330
22.3200,213.375
22.3375,215.399
22.3550,222.478
22.3725,225.405
22.3901,227.471
22.4076,228.861
22.4251,232.307
22.4426,234.596
22.4601,236.304
22.4777,237.725
22.4952,240.507
22.5127,242.669
22.5302,243.781
22.5477,244.298
22.5653,245.042
22.5828,245.253
22.6003,245.408
22.6178,245.365
22.6353,244.843
22.6529,242.104
22.6704,240.643
22.6879,244.414
22.7054,246.597
22.7229,246.289
22.7405,245.395
22.7580,245.903
22.7755,247.666
22.7930,249.065
22.8105,249.737
22.8281,248.796
22.8456,247.610
22.8631,245.625
22.8806,242.082
22.8981,241.587
22.9157,241.584
22.9332,241.583
22.9507,240.750
22.9682,239.541
22.9857,237.885
23.0033,236.147
23.0208,234.644
23.0383,232.693
23.0558,229.601
23.0733,226.475
23.0908,223.064
23.1084,219.157
23.1259,215.344
23.1434,211.704
23.1609,208.947
23.1784,204.927
23.1960,200.397
23.2135,194.909
23.2310,190.011
23.2485,184.411
23.2660,177.482
23.2836,170.029
23.3011,164.451
23.3186,158.166
23.3361,151.327
23.3536,146.970
23.3712,144.063
23.3887,140.927
23.4062,137.953
23.4237,134.731
23.4412,133.180
23.4588,132.313
23.4763,130.130
23.4938,125.896
23.5113,122.896
23.5288,121.859
23.5464,122.285
23.5639,125.169
23.5814,129.132
23.5989,133.675
23.6164,135.991
23.6340,137.320
23.6515,138.704
23.6690,140.332
23.6865,142.375
23.7040,146.780
23.7216,150.756
23.7391,154.503
23.7566,157.446
23.7741,159.689
23.7916,163.444
23.8092,166.816
23.8267,169.972
23.8442,174.182
23.8617,179.917
23.8792,184.632
