Distance_(mm),Gray_Value
19.6044,152.680
19.6220,153.283
19.6395,150.884
19.6570,148.121
19.6745,144.876
19.6920,143.415
19.7096,143.071
19.7271,141.677
19.7446,140.628
19.7621,140.123
19.7796,138.803
19.7972,136.691
19.8147,134.158
19.8322,131.276
19.8497,129.114
19.8672,127.787
19.8848,124.818
19.9023,121.494
19.9198,122.608
19.9373,125.588
19.9548,127.079
19.9724,125.578
19.9899,121.986
20.0074,118.199
20.0249,114.569
20.0424,112.427
20.0600,108.492
20.0775,103.330
20.0950,98.701
20.1125,97.343
20.1300,98.152
20.1476,102.801
20.1651,106.123
20.1826,108.437
20.2001,108.642
20.2176,109.941
20.2352,111.592
20.2527,113.517
20.2702,116.330
20.2877,119.350
20.3052,121.813
20.3227,124.798
20.3403,129.085
20.3578,131.766
20.3753,133.231
20.3928,134.727
20.4103,136.117
20.4279,137.399
20.4454,137.456
20.4629,139.691
20.4804,140.022
20.4979,143.038
20.5155,146.074
20.5330,151.519
20.5505,156.391
20.5680,158.938
20.5855,163.849
20.6031,169.866
20.6206,173.875
20.6381,178.119
20.6556,182.034
20.6731,186.079
20.6907,190.199
20.7082,191.912
20.7257,194.345
20.7432,197.263
20.7607,199.088
20.7783,202.427
20.7958,205.548
20.8133,208.412
20.8308,209.906
20.8483,210.952
20.8659,212.446
20.8834,212.828
20.9009,214.416
20.9184,214.655
20.9359,212.939
20.9535,213.751
20.9710,216.306
20.9885,220.947
21.0060,223.693
21.0235,226.449
21.0411,228.704
21.0586,228.271
21.0761,225.990
21.0936,227.660
21.1111,231.309
21.1287,229.267
21.1462,229.414
21.1637,231.845
21.1812,232.162
21.1987,230.811
21.2162,229.279
21.2338,228.802
21.2513,229.942
21.2688,231.933
21.2863,233.678
21.3038,233.067
21.3214,231.504
21.3389,232.072
21.3564,233.527
21.3739,230.803
21.3914,225.932
21.4090,228.750
21.4265,233.487
21.4440,230.793
21.4615,227.659
21.4790,230.135
21.4966,232.727
21.5141,233.064
21.5316,229.271
21.5491,226.547
21.5666,225.259
21.5842,224.201
21.6017,225.791
21.6192,226.593
21.6367,224.967
21.6542,224.046
21.6718,224.359
21.6893,220.446
21.7068,217.271
21.7243,217.618
21.7418,218.432
21.7594,215.335
21.7769,211.992
21.7944,209.536
21.8119,209.004
21.8294,206.307
21.8470,202.220
21.8645,195.135
21.8820,188.269
21.8995,186.493
21.9170,185.569
21.9346,184.016
21.9521,182.795
21.9696,180.399
21.9871,176.266
22.0046,170.432
22.0222,166.525
22.0397,162.388
22.0572,155.853
22.0747,149.982
22.0922,145.310
22.1097,144.244
22.1273,142.667
22.1448,141.623
22.1623,140.481
22.1798,139.595
22.1973,138.988
22.2149,140.092
22.2324,140.351
22.2499,143.457
22.2674,145.163
22.2849,148.526
22.3025,151.784
22.3200,157.831
22.3375,163.263
22.3550,173.307
22.3725,182.870
22.3901,191.662
22.4076,198.807
22.4251,202.855
22.4426,205.911
22.4601,209.392
22.4777,213.770
22.4952,222.671
